"customer_name","lifetime_value"
"Helen Abelman",2163.32
"Ed Jacobs",2162.18
"Neoma Murray",2161.98
"John Dryer",2152.35
"Clay Rozendal",2148.85
"Duane Noonan",2139.79
"Karen Carlisle",2120.95
"Stefanie Holloman",2096.39
"Liz Carlisle",2095.06
"Rob Haberlin",2085.74
"Trudy Glocke",2074.67
"Max Ludwig",2071.91
"Roger Barcio",2067.45
"Tom Stivers",2054.14
"Art Ferguson",2052.91
"Carlos Daly",2033.97
"Nicole Fjeld",2031.48
"Denny Joy",2012.52
"Victoria Brennan",2005.59
"Harold Pawlan",1990.31
"Doug Bickford",1989.05
"Paul Gonzalez",1987.15
"Nona Balk",1972.61
"Scott Williamson",1966.65
"Lisa DeCherney",1961.93
"Christy Brittain",1949.21
"Tracy Poddar",1936.62
"Jas O'Carroll",1934.27
"Jay Fein",1911.84
"Max Engle",1908.45
"Susan Vittorini",1903.49
"Katherine Ducich",1888.96
"Giulietta Dortch",1888.08
"Sheri Gordon",1884.80
"Lisa Ryan",1879.30
"Shaun Chance",1875.00
"Brooke Gillingham",1874.18
"Stephanie Phelps",1872.43
"Nat Gilpin",1869.57
"Cynthia Delaney",1860.74
"Skye Norling",1860.42
"Patrick Ryan",1840.18
"Ashley Jarboe",1839.24
"Pamela Coakley",1832.07
"Emily Grady",1832.02
"Pauline Johnson",1824.23
"Noah Childs",1821.75
"Janet Molinari",1804.14
"Jennifer Braxton",1791.62
"Andrew Allen",1790.51
"Chad Cunningham",1770.95
"Darrin Sayre",1762.21
"Monica Federle",1758.30
"Aaron Hawkins",1744.70
"Logan Haushalter",1739.69
"Ben Wallace",1738.41
"Valerie Takahito",1736.60
"Adrian Hane",1735.53
"Mike Vittorini",1734.58
"Jessica Myrick",1733.45
"Brad Eason",1727.65
"Denny Blanton",1711.69
"Julie Prescott",1707.71
"Tracy Zic",1707.28
"Becky Pak",1697.87
"Meg O'Connel",1687.03
"Darren Koutras",1687.03
"Ryan Akin",1686.93
"Katrina Edelman",1686.73
"Cathy Armstrong",1679.72
"Candace McMahon",1673.89
"Jennifer Patt",1669.13
"Chad McGuire",1661.61
"Cindy Chapman",1659.45
"Erica Bern",1643.26
"Anne Pryor",1638.55
"Annie Zypern",1622.03
"Maurice Satty",1613.39
"Tim Brockman",1602.37
"Craig Reiter",1600.55
"Alan Haines",1587.45
"Benjamin Farhat",1585.17
"Cyma Kinney",1582.11
"Mike Caudle",1581.99
"James Lanier",1571.52
"Karl Braun",1569.45
"George Bell",1568.44
"Odella Nelson",1567.52
"Mark Van Huff",1560.03
"Maria Bertelson",1548.71
"Brian DeCherney",1538.12
"Cathy Hwang",1537.24
"Bruce Degenhardt",1526.50
"Benjamin Venier",1523.28
"Kelly Andreada",1519.51
"Ann Blume",1515.86
"John Grady",1507.02
"Dan Lawera",1503.12
"Zuschuss Donatelli",1493.94
"Charlotte Melton",1475.14
"Laurel Elliston",1469.45
"Ted Butterfield",1467.89
"Parhena Norris",1467.16
"Ralph Kennedy",1460.19
"Bradley Nguyen",1459.34
"Delfina Latchford",1458.25
"Philip Brown",1456.95
"Andy Gerbode",1455.04
"Raymond Messe",1453.47
"Paul Knutson",1441.15
"Tamara Dahlen",1434.56
"Julia West",1428.73
"Mick Brown",1428.24
"Thomas Thornton",1427.05
"Christine Abelman",1421.96
"Roger Demir",1419.74
"Nancy Lomonaco",1418.08
"Jill Stevenson",1417.65
"Paul MacIntyre",1405.40
"Guy Armstrong",1398.39
"Cyra Reiten",1397.88
"Nathan Gelder",1395.94
"Jeremy Ellison",1388.69
"Troy Blackwell",1387.57
"Frank Gastineau",1383.13
"Don Miller",1376.80
"Gene Hale",1361.24
"Sarah Bern",1348.02
"Liz MacKendrick",1346.78
"Maureen Gnade",1342.29
"Sarah Jordon",1341.04
"Bryan Mills",1338.82
"Barry Franz",1333.89
"Saphhira Shifley",1324.03
"Dario Medina",1322.03
"Michelle Tran",1319.44
"Shirley Jackson",1318.77
"Magdelene Morse",1314.02
"Sibella Parks",1306.09
"Matt Collins",1303.89
"Eileen Kiefer",1303.48
"Corey-Lock",1300.08
"Denny Ordway",1300.03
"Hallie Redmond",1299.29
"Georgia Rosenberg",1284.38
"Cari Sayre",1278.96
"Paul Stevenson",1278.65
"Stuart Van",1271.09
"Doug O'Connell",1267.32
"Carl Ludwig",1262.01
"Liz Willingham",1259.04
"Michelle Ellison",1256.95
"Gene McClure",1255.68
"Steve Carroll",1254.64
"Matt Hagelstein",1252.80
"Elpida Rittenbach",1245.79
"Tony Chapman",1244.98
"Joni Wasserman",1244.09
"Michael Grace",1242.84
"Nora Pelletier",1228.70
"Patrick Jones",1220.10
"Erica Hernandez",1219.52
"Jack Lebron",1214.95
"Christina DeMoss",1205.58
"Michael Dominguez",1204.91
"Dorothy Wardle",1204.85
"Evan Bailliet",1186.33
"Benjamin Patterson",1181.49
"Debra Catini",1174.62
"Alyssa Tate",1171.81
"Jim Radford",1156.66
"Duane Benoit",1155.21
"Claire Gute",1148.78
"Kimberly Carter",1146.05
"Ross DeVincentis",1137.61
"Carl Weiss",1136.59
"Jim Sink",1131.07
"Darrin Van Huff",1119.48
"Alan Barnes",1113.85
"Tony Molinari",1094.68
"Jesus Ocampo",1090.85
"Scot Wooten",1085.06
"Jeremy Farry",1082.92
"Dennis Bolton",1081.47
"David Wiener",1080.76
"Cindy Schnelling",1077.23
"Pauline Chand",1061.49
"David Philippe",1058.62
"Jenna Caffey",1058.11
"Phillina Ober",1056.85
"Allen Armold",1056.39
"Vivek Sundaresam",1055.99
"Alex Russell",1055.69
"Darren Powers",1050.63
"Duane Huffman",1043.09
"Susan MacKendrick",1043.05
"Eudokia Martin",1041.04
"Theresa Coyne",1038.26
"Mike Kennedy",1031.60
"Tiffany House",1022.21
"Sean Wendt",1019.04
"Luke Schmidt",1010.25
"Randy Bradley",1008.20
"Lynn Smith",1008.14
"Bruce Geld",1006.35
"Victor Preis",993.90
"Ken Brennan",983.93
"Barry Pond",983.42
"Toby Swindell",974.78
"Russell D'Ascenzo",970.95
"Aimee Bixby",966.71
"Roy Collins",966.41
"Sung Shariari",964.63
"Jonathan Howell",959.48
"Jason Fortune-",955.12
"Rachel Payne",954.64
"Bryan Spruell",949.43
"Roy Französisch",945.22
"Eric Barreto",944.60
"Maureen Fritzler",937.05
"Eric Murdock",933.70
"Alyssa Crouse",925.80
"Evan Henry",923.88
"Mary O'Rourke",922.49
"Alejandro Ballentine",914.53
"Katrina Bavinger",908.82
"Catherine Glotzbach",904.48
"Sonia Cooley",902.73
"Joni Blumstein",900.55
"Henia Zydlo",886.52
"Aaron Bergman",886.15
"Ryan Crowe",885.75
"Chad Sievert",884.64
"Harold Engle",883.53
"Sally Knutson",883.41
"Richard Eichhorn",876.70
"Jim Mitchum",864.95
"Jocasta Rupert",863.88
"Art Foster",861.57
"Julie Creighton",858.57
"Michael Stewart",855.12
"Vicky Freymann",847.95
"Vivek Gonzalez",846.02
"Charles Sheldon",844.46
"Todd Boyes",834.33
"Ann Steele",833.41
"Erica Hackney",825.95
"Thomas Brumley",816.17
"Alice McCarthy",814.01
"Brendan Murry",808.16
"David Kendrick",797.83
"Matthew Clasen",795.15
"Beth Fritzler",791.99
"Harry Greene",785.62
"Michael Granlund",776.39
"Muhammed MacIntyre",775.41
"Sandra Flanagan",763.54
"Steven Ward",758.69
"Liz Pelletier",756.60
"Dorris liebe",755.60
"Ivan Gibson",744.57
"Barry Blumstein",744.33
"Tracy Collins",742.55
"Michelle Lonsdale",742.08
"Ritsa Hightower",740.39
"Patrick Bzostek",740.36
"Angele Hood",738.50
"Henry MacAllister",736.28
"Patricia Hirasaki",729.65
"Pete Armstrong",729.41
"Jennifer Jackson",709.17
"Julia Dunbar",695.44
"Peter Bühler",688.33
"Eric Hoffmann",684.18
"Toby Ritter",675.94
"Alex Grayson",660.97
"Berenike Kampe",659.15
"Bryan Davis",658.46
"Anna Chung",657.31
"Anthony Witt",649.37
"Lori Olson",644.35
"Joy Bell-",644.12
"Carol Darley",639.76
"Mathew Reese",639.18
"Astrea Jones",629.25
"Ralph Ritter",615.93
"Shirley Schmidt",613.40
"Bobby Trafton",603.87
"Barbara Fisher",599.79
"Maria Zettner",593.61
"Denise Leinenbach",585.02
"Alan Shonely",584.62
"Brian Derr",582.65
"Neil Knudson",572.05
"Carlos Meador",565.39
"Chuck Sachs",550.64
"Cari Schnelling",537.63
"John Huston",528.92
"Rob Beeghly",528.53
"Andy Yotov",497.02
"Corey Roper",475.90
"MaryBeth Skach",475.66
"Joni Sundaresam",469.16
"Erin Creighton",461.91
"Khloe Miller",453.54
"Kelly Williams",449.10
"Tim Taslimi",439.50
"Shui Tom",433.34
"Vivek Grady",427.37
"Sonia Sunley",418.49
"Brad Thomas",415.20
"Mark Haberlin",400.02
"Barry Weirich",385.51
"Joy Daniels",385.43
"Jason Klamczynski",383.81
"Vivian Mathis",380.69
"Neil Französisch",377.17
"Melanie Seite",370.34
"Lycoris Saunders",368.88
"Aleksandra Gannaway",367.55
"Evan Minnotte",366.83
"Heather Jas",358.10
"Don Weiss",344.08
"Larry Tron",329.87
"Brendan Dodson",320.54
"Lisa Hazard",318.23
"Jennifer Halladay",309.29
"Jill Matthias",303.94
"Chuck Magee",288.00
"Larry Hughes",287.43
"Sung Chung",280.63
"Stuart Calhoun",279.25
"Nicole Brennan",273.87
"Bart Folk",272.95
"Dorothy Dickinson",269.53
"Brad Norvell",265.31
"Andrew Roberts",264.87
"Harold Dahlen",251.36
"Sally Matthias",244.49
"Paul Lucas",239.49
"Guy Phonely",236.53
"Erin Mull",228.99
"Guy Thornton",226.43
"Robert Barroso",221.09
"Hilary Holden",218.67
"Allen Goldenen",200.95
"Joel Jenkins",195.00
"Anthony Garverick",170.59
"Muhammed Lee",162.23
"Anthony O'Donnell",161.28
"Pete Takahito",160.58
"Dianna Arnett",156.76
"Michael Oakman",154.29
"Greg Hansen",146.94
"Phillip Breyer",132.74
"Bobby Odegard",130.83
"Ed Ludwig",124.28
"Clay Cheatham",113.84
"Roland Murray",98.35
"Karen Seio",88.47
"Anemone Ratner",88.15
"Fred Wasserman",79.75
"Jasper Cacioppo",71.27
"Adrian Shami",58.82
"Larry Blacks",50.19
"Ricardo Emerson",48.36
"Susan Gilcrest",47.95
"Roy Skaria",22.33
"Mitch Gastineau",16.74
"Carl Jackson",16.52
"Lela Donovan",5.30
"Thais Sissman",4.84
