"customer_name","purchases"
"Pierre Wener",12
"Alice McCarthy",12
"Sean Christensen",12
"Rose O'Brian",12
"Bill Overfelt",12
"Ann Steele",12
"Shahid Shariari",12
"Nicole Fjeld",12
"Monica Federle",12
"Valerie Mitchum",12
"Toby Swindell",12
"Alan Dominguez",12
"Christine Kargatis",12
"Aimee Bixby",12
"Ed Braxton",12
"Shui Tom",12
"Craig Carroll",12
"Jim Mitchum",12
"Rick Huthwaite",12
"Troy Staebel",11
"Sandra Glassco",11
"Charles Crestani",11
"Becky Pak",11
"Neil Knudson",11
"Philip Brown",11
"Ryan Crowe",11
"Aaron Hawkins",11
"Dianna Wilson",11
"Mike Kennedy",11
"Christine Abelman",11
"Doug O'Connell",11
"Jason Gross",11
"Harold Engle",11
"Christopher Conant",11
"Duane Huffman",11
"Toby Braunhardt",11
"Emily Burns",11
"Alex Avila",11
"Maya Herman",11
"Vicky Freymann",11
"Lindsay Williams",11
"Joni Wasserman",11
"Jas O'Carroll",11
"Michael Stewart",11
"Roy Französisch",11
"Erica Hernandez",11
"Hunter Glantz",11
"Matt Collins",11
"Gary McGarr",11
"Scot Coram",11
"John Lucas",11
"Robert Marley",11
"Mark Hamilton",11
"Eugene Barchas",11
"Duane Noonan",11
"Nicole Hansen",11
"Carl Weiss",11
"Greg Matthias",11
"Mike Caudle",11
"Rob Haberlin",11
"Meg O'Connel",11
"Michelle Tran",11
"Jim Sink",11
"Hunter Lopez",11
"Craig Yedwab",11
"Mike Vittorini",11
"Thomas Boland",11
"Jesus Ocampo",11
"Kelly Andreada",11
"Brian Stugart",11
"Joy Daniels",11
"Frank Gastineau",11
"Doug Bickford",11
"Tony Chapman",11
"Greg Maxwell",11
"Scot Wooten",10
"Phillip Flathmann",10
"Nora Paige",10
"Sibella Parks",10
"Justin Ritter",10
"Helen Abelman",10
"Bill Tyler",10
"Bradley Drucker",10
"Don Miller",10
"Philip Fox",10
"Candace McMahon",10
"Janet Lee",10
"Gary Hwang",10
"Mary Zewe",10
"Russell D'Ascenzo",10
"Shaun Chance",10
"Michael Nguyen",10
"Harold Pawlan",10
"Mark Cousins",10
"Eudokia Martin",10
"Katrina Willman",10
"Brendan Sweed",10
"Brendan Murry",10
"Trudy Glocke",10
"Rick Reed",10
"Maureen Gastineau",10
"Roy Collins",10
"Fred Chung",10
"Duane Benoit",10
"Ashley Jarboe",10
"Nancy Lomonaco",10
"Corinna Mitchell",10
"Phillina Ober",10
"Bradley Talbott",10
"Tom Ashbrook",10
"Michelle Huthwaite",10
"Jessica Myrick",10
"Karen Bern",10
"Carol Adams",10
"Bruce Degenhardt",10
"Tracy Collins",10
"Dorothy Wardle",10
"Karen Carlisle",10
"Bryan Davis",10
"Victoria Brennan",10
"Patrick Bzostek",10
"Pauline Johnson",10
"Aaron Smayling",10
"Harry Greene",10
"Tom Prescott",10
"Barry Franz",10
"Andy Yotov",10
"Meg Tillman",10
"Christopher Martinez",10
"Katherine Ducich",10
"Ben Wallace",10
"Mick Brown",10
"Sarah Jordon",10
"Olvera Toch",10
"Tracy Poddar",10
"Cathy Armstrong",10
"Dorothy Dickinson",9
"John Stevenson",9
"Ryan Akin",9
"Edward Nazzal",9
"Don Weiss",9
"Sharelle Roach",9
"Darrin Van Huff",9
"Cindy Schnelling",9
"Alex Grayson",9
"Chuck Magee",9
"Liz Pelletier",9
"Ken Brennan",9
"Mark Haberlin",9
"Giulietta Weimer",9
"David Wiener",9
"Toby Gnade",9
"Khloe Miller",9
"Sonia Sunley",9
"Valerie Takahito",9
"Noah Childs",9
"Julia Barnett",9
"Carlos Daly",9
"Shaun Weien",9
"Alyssa Tate",9
"Julie Creighton",9
"Jonathan Howell",9
"Tracy Zic",9
"Liz Carlisle",9
"Andy Gerbode",9
"Deanra Eno",9
"Ricardo Sperren",9
"Raymond Messe",9
"Nathan Gelder",9
"Zuschuss Donatelli",9
"Amy Cox",9
"Beth Thompson",9
"Rob Beeghly",9
"Sandra Flanagan",9
"Cindy Stewart",9
"Catherine Glotzbach",9
"Katrina Bavinger",9
"Richard Eichhorn",9
"Sara Luxemburg",9
"Dario Medina",9
"Andy Reiter",9
"Lori Olson",9
"Emily Grady",9
"Laurel Elliston",9
"John Grady",9
"Bill Shonely",9
"Bill Eplett",9
"Thea Hudgings",9
"Juliana Krohn",9
"Vivian Mathis",8
"Kean Nguyen",8
"Vivek Gonzalez",8
"Maureen Fritzler",8
"Chris McAfee",8
"Yoseph Carroll",8
"Cari Sayre",8
"Joni Sundaresam",8
"Ed Jacobs",8
"Ann Blume",8
"Bryan Spruell",8
"Vivek Sundaresam",8
"Darren Koutras",8
"Charles Sheldon",8
"Dianna Arnett",8
"Brian DeCherney",8
"Erica Hackney",8
"Eva Jacobs",8
"Michael Dominguez",8
"Evan Henry",8
"Mike Gockenbach",8
"Erica Smith",8
"Denise Leinenbach",8
"Paul Lucas",8
"Alejandro Savely",8
"Brooke Gillingham",8
"Steve Carroll",8
"Anthony Witt",8
"Joni Blumstein",8
"Craig Leslie",8
"Matthew Clasen",8
"Rick Hansen",8
"Jill Stevenson",8
"Allen Goldenen",8
"Corey-Lock",8
"Doug Jacobs",8
"Neil Ducich",8
"Ellis Ballard",8
"Steven Ward",8
"Deirdre Greer",8
"Ralph Kennedy",8
"Benjamin Farhat",8
"John Huston",8
"Alan Haines",8
"Amy Hunt",8
"Barry Blumstein",8
"Toby Ritter",7
"Pete Armstrong",7
"Sonia Cooley",7
"Maureen Gnade",7
"Jennifer Halladay",7
"Debra Catini",7
"Roger Barcio",7
"Bruce Geld",7
"Jack Garza",7
"Henry MacAllister",7
"Lindsay Castell",7
"Joy Bell-",7
"Michael Grace",7
"Peter McVee",7
"Julia West",7
"Justin Ellison",7
"Troy Blackwell",7
"Sarah Bern",7
"Cari Schnelling",7
"Shirley Jackson",7
"Bobby Trafton",7
"Tom Stivers",7
"Eric Barreto",7
"Liz MacKendrick",7
"Pete Takahito",7
"Jill Matthias",7
"Chad Sievert",7
"Guy Thornton",7
"Evan Bailliet",7
"Barry Pond",7
"Allen Rosenblatt",7
"Nora Pelletier",7
"James Lanier",7
"Chad McGuire",7
"Scott Williamson",7
"Harold Dahlen",7
"Carl Ludwig",7
"Charles McCrossin",7
"MaryBeth Skach",7
"Thea Hendricks",7
"Lisa DeCherney",7
"John Dryer",7
"Kimberly Carter",7
"Andrew Roberts",7
"Art Foster",7
"Erin Creighton",7
"Eleni McCrary",7
"Cyra Reiten",7
"Ivan Gibson",7
"Robert Barroso",7
"Charlotte Melton",7
"Erica Bern",6
"Matt Hagelstein",6
"David Flashing",6
"Lisa Hazard",6
"Sally Matthias",6
"Giulietta Dortch",6
"Sean Wendt",6
"Michelle Ellison",6
"Stuart Van",6
"Vivek Grady",6
"Heather Jas",6
"Randy Bradley",6
"Dorris liebe",6
"Mathew Reese",6
"Chuck Sachs",6
"Dennis Bolton",6
"Julia Dunbar",6
"Lycoris Saunders",6
"Clay Rozendal",6
"Brad Norvell",6
"Erin Mull",6
"Aaron Bergman",6
"Craig Reiter",6
"Henia Zydlo",6
"Carol Darley",6
"Bart Folk",6
"Hilary Holden",6
"Jennifer Jackson",6
"Maria Zettner",6
"Grant Thornton",6
"Susan MacKendrick",6
"Eric Murdock",6
"Anna Chung",6
"Magdelene Morse",6
"Benjamin Patterson",6
"Shirley Schmidt",6
"Guy Phonely",5
"George Zrebassa",5
"Mary O'Rourke",5
"Liz Willingham",5
"Claire Gute",5
"Aleksandra Gannaway",5
"Pamela Coakley",5
"Susan Gilcrest",5
"Brian Derr",5
"Kelly Williams",5
"Alex Russell",5
"Stuart Calhoun",5
"Georgia Rosenberg",5
"Justin Hirsh",5
"Astrea Jones",5
"Peter Bühler",5
"Robert Dilbeck",5
"Victor Preis",5
"Bobby Elias",5
"Elpida Rittenbach",5
"Melanie Seite",5
"Kelly Collister",5
"Anthony Garverick",5
"Denny Joy",5
"Angele Hood",5
"David Kendrick",5
"Alyssa Crouse",5
"Sally Knutson",5
"Paul MacIntyre",4
"David Philippe",4
"Tony Molinari",4
"Theresa Coyne",4
"Sung Chung",4
"Ralph Ritter",4
"Cathy Hwang",4
"Jason Klamczynski",4
"Michelle Lonsdale",4
"Karen Seio",4
"Michael Oakman",4
"Clay Cheatham",4
"Neil Französisch",4
"Ionia McGrath",4
"Eileen Kiefer",4
"Evan Minnotte",4
"Jasper Cacioppo",4
"Beth Fritzler",4
"Brendan Dodson",4
"Thomas Brumley",4
"Corey Roper",4
"Carlos Meador",4
"Jenna Caffey",4
"Joel Jenkins",3
"Brad Thomas",3
"Adrian Shami",3
"Roy Skaria",3
"Larry Blacks",3
"Gene Hale",3
"Ritsa Hightower",3
"Larry Tron",3
"Pauline Chand",3
"Mitch Willingham",3
"Jim Radford",3
"Tim Taslimi",3
"Larry Hughes",3
"Greg Hansen",3
"Paul Knutson",3
"Muhammed Lee",3
"Fred Wasserman",3
"Barry Weirich",3
"Bobby Odegard",2
"Phillip Breyer",2
"Mitch Gastineau",2
"Roland Murray",2
"Nicole Brennan",2
"Thais Sissman",2
"Anemone Ratner",2
"Patricia Hirasaki",2
"Stefanie Holloman",2
"Ed Ludwig",2
"Carl Jackson",1
"Ricardo Emerson",1
"Lela Donovan",1
"Jocasta Rupert",1
"Anthony O'Donnell",1
